Name,ANOVA Decision Tree Regressor,Decision Tree Classifier,Random Forest Classifier,Random Forest Regressor,SVM Classifier,SVM Classifier - K=5 best,MLP Classifier - Adam,MLP Classifier - LBFGS,
Accuracy,R2:0.0993788819875775; MSE:0.6896551724137931; MAE:0.4827586206896552,0.6206896551724138,0.4827586206896552,R2:-0.16591257763975165; MSE:0.8928034482758621; MAE:0.8320689655172413,0.3448275862068966,0.5517241379310345,0.6206896551724138,0.5517241379310345,
Time,0.0008563529999999986,0.0008397599999999983,0.008809150000000017,0.006855529000000011,0.0010383500000000013,0.0001965299999999992,0.000884172999999997,0.000996410000000001,
Number of Turns,0.0,0.0,0.03707853312575679,0.014731341046658051,,,,,
Player 1 Turn Taking,0.0,0.0,0.04929234213287145,0.01912070848664012,,,,,
Player 2 Turn Taking,0.0,0.0,0.06088841952028251,0.023948535152870248,,,,,
Player 3 Turn Taking,0.0,0.0,0.030562941167118645,0.019997904892738456,,,,,
Player 4 Turn Taking,0.09782608695652167,0.19148936170212766,0.040915469619465475,0.023244932591828096,,,,,
Player 1 SA Average,0.0,0.0,0.035788015985628856,0.010233990147783263,,,,,
Player 2 SA Average,0.09782608695652167,0.19148936170212766,0.1099728280618265,0.12922932181539912,,,,,
Player 3 SA Average,0.0,0.0,0.10836248964666194,0.08013702992248255,,,,,
Player 4 SA Average,0.6956521739130448,0.4042553191489362,0.06727003971062093,0.08146689834400238,,,,,
SA 3 Turn Taking,0.0,0.0,0.02650129545251496,0.027782723953222777,,,,,
SA 4 Turn Taking,0.0,0.0,0.006083313849271295,0.004491357941984324,,,,,
SA 5 Turn Taking,0.0,0.0,0.024327049874533012,0.013259132025321243,,,,,
SA 6 Turn Taking,0.10869565217391189,0.2127659574468085,0.044393804647177765,0.06927682302773601,,,,,
Positive Sentiment Rating,0.0,0.0,0.0640063641599708,0.0185266819468299,,,,,
Negative Sentiment Rating,0.0,0.0,0.16238891607153152,0.3162765264804617,,,,,
Neutral Sentiment Rating,0.0,0.0,0.09351908061762758,0.13894058864246928,,,,,
Compound Sentiment Rating,0.0,0.0,0.03864909635713995,0.009335503581572603,,,,,
