Name,ANOVA Decision Tree Regressor,Decision Tree Classifier,Random Forest Classifier,Random Forest Regressor,SVM Classifier,SVM Classifier - K=5 best,MLP Classifier - Adam,MLP Classifier - LBFGS,
Accuracy,R2:-0.7763157894736841; MSE:1.3636363636363635; MAE:1.0,0.18181818181818182,0.24242424242424243,R2:-0.5350763157894733; MSE:1.178442424242424; MAE:0.9763636363636363,0.2727272727272727,0.21212121212121213,0.24242424242424243,0.2727272727272727,
Time,0.0007565105999674416,0.0007608929600246483,0.007581230609939666,0.00616844566000509,0.0009703766000166069,0.00014326890006486793,0.0010301546799746574,0.0010632198600069387,
Number of Turns,0.0,0.0,0.03466666666666667,0.02,,,,,
Player 1 Turn Taking,0.0,0.0,0.030000000000000002,0.02,,,,,
Player 2 Turn Taking,0.0,0.0,0.045111111111111116,0.03,,,,,
Player 3 Turn Taking,0.0,0.0,0.004,0.0,,,,,
Player 4 Turn Taking,0.0,0.0,0.033047619047619055,0.01,,,,,
Player 1 SA Average,0.0,0.0,0.030000000000000002,0.04,,,,,
Player 2 SA Average,0.0,0.0,0.13073015873015875,0.13,,,,,
Player 3 SA Average,1.0,1.0,0.19688888888888892,0.29,,,,,
Player 4 SA Average,0.0,0.0,0.06400000000000002,0.11,,,,,
SA 3 Turn Taking,0.0,0.0,0.05044444444444445,0.04,,,,,
SA 4 Turn Taking,0.0,0.0,0.015333333333333334,0.01,,,,,
SA 5 Turn Taking,0.0,0.0,0.04533333333333334,0.03,,,,,
SA 6 Turn Taking,0.0,0.0,0.054666666666666676,0.04,,,,,
Positive Sentiment Rating,0.0,0.0,0.05511111111111112,0.05,,,,,
Negative Sentiment Rating,0.0,0.0,0.15311111111111111,0.14,,,,,
Neutral Sentiment Rating,0.0,0.0,0.04755555555555556,0.04,,,,,
Compound Sentiment Rating,0.0,0.0,0.010000000000000002,0.0,,,,,
